Admitidos.Desligados,Competкncia.Declarada,Municнpio,Ano.Declarado,CBO.2002.Ocupaзгo,CNAE.1.0.Classe,CNAE.2.0.Classe,CNAE.2.0.Subclas,Faixa.Empr.Inнcio.Jan,Grau.Instruзгo,Qtd.Hora.Contrat,IBGE.Subsetor,Idade,Ind.Aprendiz,Ind.Portador.Defic,Raзa.Cor,Salбrio.Mensal,Saldo.Mov,Sexo,Tempo.Emprego,Tipo.Estab,Tipo.Defic,Tipo.Mov.Desagregado,UF,Bairros.SP,Bairros.Fortaleza,Bairros.RJ,Distritos.SP,Regiхes.Adm.DF,Mesorregiгo,Microrregiгo,Regiгo.Adm.RJ,Regiгo.Adm.SP,Regiгo.Corede,Regiгo.Corede.04,Regiгo.Gov.SP,Regiгo.Senac.PR,Regiгo.Senai.PR,Regiгo.Senai.SP,Sub.Regiгo.Senai.PR,Ind.Trab.Parcial,Ind.Trab.Intermitente
2,201004,351620,2010,251110,24996,20991,2099199,1,9,44,10,24,0,0,2,1507,-1,2,1,1,0,4,35,9999,{с c,{с c,9999,0,3502,35012,{с,6,{с,99,42,99,{с,14,99,,
1,201004,355030,2010,251110,74160,70204,7020400,1,9,44,19,39,0,0,9,600,1,1,0,1,0,2,35,39,{с c,{с c,12,0,3515,35061,{с,13,{с,99,1,99,{с,46,99,,
2,201004,355030,2010,251110,74160,70204,7020400,1,9,44,19,29,0,0,2,1000,-1,1,1,1,0,43,35,39,{с c,{с c,12,0,3515,35061,{с,13,{с,99,1,99,{с,46,99,,
2,201004,355030,2010,251110,74160,70204,7020400,1,9,44,19,32,0,0,2,600,-1,2,1,1,0,43,35,39,{с c,{с c,12,0,3515,35061,{с,13,{с,99,1,99,{с,46,99,,
2,201004,355030,2010,251110,74160,70204,7020400,1,9,44,19,28,0,0,2,600,-1,2,1,1,0,43,35,39,{с c,{с c,12,0,3515,35061,{с,13,{с,99,1,99,{с,46,99,,
2,201004,355030,2010,251110,74160,70204,7020400,1,9,44,19,30,0,0,2,600,-1,1,1,1,0,43,35,39,{с c,{с c,12,0,3515,35061,{с,13,{с,99,1,99,{с,46,99,,
2,201004,355030,2010,251110,74160,70204,7020400,1,9,44,19,24,0,0,2,600,-1,2,3,1,0,6,35,39,{с c,{с c,12,0,3515,35061,{с,13,{с,99,1,99,{с,46,99,,
2,201004,355030,2010,251110,74160,70204,7020400,1,9,44,19,23,0,0,2,600,-1,2,1,1,0,43,35,39,{с c,{с c,12,0,3515,35061,{с,13,{с,99,1,99,{с,46,99,,
1,201004,355030,2010,251110,74209,71111,7111100,9,9,44,19,46,0,0,2,3052,1,2,0,1,0,2,35,1791,{с c,{с c,38,0,3515,35061,{с,13,{с,99,1,99,{с,46,99,,
2,201004,355030,2010,251110,74209,71111,7111100,9,9,44,19,36,0,0,2,3052,-1,1,5,1,0,4,35,1791,{с c,{с c,38,0,3515,35061,{с,13,{с,99,1,99,{с,46,99,,
1,201004,261110,2010,251110,74705,81214,8121400,6,9,44,21,24,0,0,8,3800,1,1,0,1,0,1,26,{с c,{с c,{с c,{с c,0,2602,26005,{с,999,{с,99,999,99,{с,999,99,,
1,201005,530010,2010,251110,74209,71120,7112000,4,9,44,19,37,0,0,2,7000,1,2,0,1,0,2,53,{с c,{с c,{с c,{с c,1,5301,53001,{с,999,{с,99,999,99,{с,999,99,,
1,201005,410690,2010,251110,74403,73190,7319003,1,9,44,19,25,0,0,2,1450,1,2,0,1,0,2,41,{с c,{с c,{с c,{с c,0,4110,41037,{с,999,{с,99,999,7,2,999,1,,
2,201005,431950,2010,251110,74209,71120,7112000,6,9,44,19,41,0,0,2,1000,-1,2,23,1,0,4,43,{с c,{с c,{с c,{с c,0,4305,43023,{с,999,19,21,999,99,{с,999,99,,
2,201005,431950,2010,251110,74209,71120,7112000,6,9,44,19,37,0,0,2,1000,-1,2,23,1,0,4,43,{с c,{с c,{с c,{с c,0,4305,43023,{с,999,19,21,999,99,{с,999,99,,
2,201005,430700,2010,251110,73202,72207,7220700,2,9,40,21,28,0,0,2,561,-1,2,21,1,0,4,43,{с c,{с c,{с c,{с c,0,4301,43004,{с,999,14,16,999,99,{с,999,99,,
1,201005,292530,2010,251110,91995,94308,9430800,2,9,44,21,37,0,0,8,3026,1,1,0,1,0,2,29,{с c,{с c,{с c,{с c,0,2907,29032,{с,999,{с,99,999,99,{с,999,99,,
1,201005,292530,2010,251110,91995,94308,9430800,2,9,44,21,27,0,0,8,1582,1,2,0,1,0,2,29,{с c,{с c,{с c,{с c,0,2907,29032,{с,999,{с,99,999,99,{с,999,99,,
2,201005,330455,2010,251110,74209,71120,7112000,4,9,40,19,49,0,0,2,7548,-1,2,10,1,0,4,33,{с c,{с c,370,{с c,0,3306,33018,2,999,{с,99,999,99,{с,999,99,,
2,201005,330455,2010,251110,92525,91023,9102301,4,9,44,21,44,0,0,2,2647,-1,1,24,1,0,4,33,{с c,{с c,160,{с c,0,3306,33018,17,999,{с,99,999,99,{с,999,99,,
2,201005,330455,2010,251110,92525,91023,9102301,4,9,44,21,26,0,0,2,2974,-1,1,27,1,0,4,33,{с c,{с c,160,{с c,0,3306,33018,17,999,{с,99,999,99,{с,999,99,,
1,201005,355030,2010,251110,51527,46893,4689301,1,9,44,17,27,0,0,2,3000,1,2,0,1,0,2,35,256,{с c,{с c,41,0,3515,35061,{с,13,{с,99,1,99,{с,46,99,,
2,201005,353060,2010,251110,60267,49302,4930202,9,9,44,20,35,0,0,2,16062,-1,1,4,1,0,6,35,9999,{с c,{с c,9999,0,3515,35062,{с,13,{с,99,1,99,{с,29,99,,
2,201005,130260,2010,251110,70408,81125,8112500,6,9,44,21,27,0,0,6,2065,-1,1,73,1,0,4,13,{с c,{с c,{с c,{с c,0,1303,13007,{с,999,{с,99,999,99,{с,999,99,,
2,201006,430700,2010,251110,73202,72207,7220700,2,9,40,21,33,0,0,2,687,-1,1,11,1,0,4,43,{с c,{с c,{с c,{с c,0,4301,43004,{с,999,14,16,999,99,{с,999,99,,
1,201006,351620,2010,251110,24996,20991,2099199,1,9,44,10,30,0,0,2,2200,1,2,0,1,0,2,35,9999,{с c,{с c,9999,0,3502,35012,{с,6,{с,99,42,99,{с,14,99,,
2,201006,355030,2010,251110,51527,46893,4689301,1,9,44,17,33,0,0,2,2301,-1,2,3,1,0,6,35,256,{с c,{с c,41,0,3515,35061,{с,13,{с,99,1,99,{с,46,99,,
1,201006,410690,2010,251110,74403,73190,7319003,1,9,44,19,24,0,0,2,1500,1,1,0,1,0,2,41,{с c,{с c,{с c,{с c,0,4110,41037,{с,999,{с,99,999,7,2,999,1,,
2,201006,261110,2010,251110,74705,81214,8121400,6,9,44,21,26,0,0,8,3800,-1,2,9,1,0,4,26,{с c,{с c,{с c,{с c,0,2602,26005,{с,999,{с,99,999,99,{с,999,99,,
2,201006,261110,2010,251110,74705,81214,8121400,6,9,44,21,24,0,0,8,3800,-1,1,2,1,0,11,26,{с c,{с c,{с c,{с c,0,2602,26005,{с,999,{с,99,999,99,{с,999,99,,
2,201007,330455,2010,251110,92525,91023,9102301,4,9,44,21,46,0,0,2,7765,-1,2,16,1,0,4,33,{с c,{с c,160,{с c,0,3306,33018,17,999,{с,99,999,99,{с,999,99,,
1,201007,421870,2010,251110,91995,94308,9430800,1,9,44,21,45,0,0,2,2000,1,2,0,1,0,2,42,{с c,{с c,{с c,{с c,0,4206,42018,{с,999,{с,99,999,99,{с,999,99,,
1,201007,150140,2010,251110,74160,85503,8550302,9,9,30,19,34,0,0,8,2835,1,1,0,1,0,2,15,{с c,{с c,{с c,{с c,0,1503,15007,{с,999,{с,99,999,99,{с,999,99,,
1,201008,520870,2010,251110,45217,41204,4120400,3,9,44,15,27,0,0,4,1000,1,1,0,1,0,2,52,{с c,{с c,{с c,{с c,0,5203,52010,{с,999,{с,99,999,99,{с,999,99,,
1,201008,330455,2010,251110,91995,94308,9430800,1,9,44,21,30,0,0,8,1500,1,2,0,1,0,2,33,{с c,{с c,910,{с c,0,3306,33018,4,999,{с,99,999,99,{с,999,99,,
2,201008,330490,2010,251110,74993,82997,8299799,1,9,44,19,29,0,0,8,916,-1,1,7,1,0,4,33,{с c,{с c,9999,{с c,0,3306,33018,99,999,{с,99,999,99,{с,999,99,,
1,201008,330455,2010,251110,92525,91023,9102301,4,9,44,21,45,0,0,2,4398,1,2,0,1,0,2,33,{с c,{с c,160,{с c,0,3306,33018,17,999,{с,99,999,99,{с,999,99,,
1,201008,420460,2010,251110,80322,85325,8532500,9,9,40,23,30,0,0,2,1836,1,1,0,1,0,2,42,{с c,{с c,{с c,{с c,0,4206,42019,{с,999,{с,99,999,99,{с,999,99,,
1,201008,431560,2010,251110,73202,72207,7220700,1,9,40,21,36,0,0,2,510,1,1,0,1,0,2,43,{с c,{с c,{с c,{с c,0,4307,43035,{с,999,18,20,999,99,{с,999,99,,
2,201008,292530,2010,251110,91995,94308,9430800,2,9,44,21,38,0,0,8,3000,-1,1,3,1,0,6,29,{с c,{с c,{с c,{с c,0,2907,29032,{с,999,{с,99,999,99,{с,999,99,,
2,201008,310620,2010,251110,74993,82997,8299799,9,9,40,19,28,0,0,8,3078,-1,1,40,1,0,4,31,{с c,{с c,{с c,{с c,0,3107,31030,{с,999,{с,99,999,99,{с,999,99,,
1,201008,355030,2010,251110,22152,58123,5812300,6,9,44,8,30,0,0,2,3400,1,2,0,1,0,2,35,2,{с c,{с c,6,0,3515,35061,{с,13,{с,99,1,99,{с,46,99,,
1,201008,355030,2010,251110,74144,64620,6462000,1,9,44,19,41,0,0,2,13500,1,2,0,1,0,2,35,201,{с c,{с c,26,0,3515,35061,{с,13,{с,99,1,99,{с,46,99,,
2,201008,355030,2010,251110,74209,71111,7111100,9,9,44,19,27,0,0,2,3189,-1,2,9,1,0,4,35,1791,{с c,{с c,38,0,3515,35061,{с,13,{с,99,1,99,{с,46,99,,
2,201009,421870,2010,251110,91995,94308,9430800,1,9,44,21,45,0,0,2,2000,-1,2,2,1,0,4,42,{с c,{с c,{с c,{с c,0,4206,42018,{с,999,{с,99,999,99,{с,999,99,,
1,201009,430700,2010,251110,73202,72207,7220700,2,9,40,21,26,0,0,2,561,1,1,0,1,0,2,43,{с c,{с c,{с c,{с c,0,4301,43004,{с,999,14,16,999,99,{с,999,99,,
1,201009,430700,2010,251110,73202,72207,7220700,2,9,40,21,24,0,0,4,561,1,1,0,1,0,2,43,{с c,{с c,{с c,{с c,0,4301,43004,{с,999,14,16,999,99,{с,999,99,,
2,201009,313670,2010,251110,73202,72207,7220700,1,9,44,21,40,0,0,2,2800,-1,2,15,3,0,4,31,{с c,{с c,{с c,{с c,0,3112,31065,{с,999,{с,99,999,99,{с,999,99,,
2,201009,330455,2010,251110,74403,73114,7311400,5,9,44,19,42,0,0,2,1666,-1,1,37,1,0,4,33,{с c,{с c,160,{с c,0,3306,33018,17,999,{с,99,999,99,{с,999,99,,
1,201009,355030,2010,251110,22152,58123,5812300,6,9,44,8,40,0,0,2,3000,1,1,0,1,0,2,35,2,{с c,{с c,6,0,3515,35061,{с,13,{с,99,1,99,{с,46,99,,
1,201009,355030,2010,251110,74160,70204,7020400,1,9,44,19,31,0,0,8,600,1,1,0,1,0,25,35,39,{с c,{с c,12,0,3515,35061,{с,13,{с,99,1,99,{с,46,99,,
1,201009,355030,2010,251110,52213,47211,4721102,1,9,44,16,46,0,0,2,832,1,1,0,1,0,2,35,437,{с c,{с c,20,0,3515,35061,{с,13,{с,99,1,99,{с,46,99,,
2,201009,350570,2010,251110,51691,46630,4663000,4,9,44,17,44,0,0,2,1600,-1,2,10,1,0,4,35,9999,{с c,{с c,9999,0,3515,35057,{с,13,{с,99,1,99,{с,20,99,,
1,201010,330455,2010,251110,74209,71120,7112000,7,9,40,19,31,0,0,2,6322,1,1,0,1,0,2,33,{с c,{с c,370,{с c,0,3306,33018,2,999,{с,99,999,99,{с,999,99,,
1,201010,330455,2010,251110,74209,71120,7112000,7,9,40,19,23,0,0,8,4367,1,1,0,1,0,2,33,{с c,{с c,370,{с c,0,3306,33018,2,999,{с,99,999,99,{с,999,99,,
1,201010,330455,2010,251110,74209,71120,7112000,7,9,40,19,23,0,0,8,4367,1,1,0,1,0,2,33,{с c,{с c,370,{с c,0,3306,33018,2,999,{с,99,999,99,{с,999,99,,
1,201010,330455,2010,251110,74209,71120,7112000,7,9,40,19,27,0,0,8,6322,1,2,0,1,0,1,33,{с c,{с c,370,{с c,0,3306,33018,2,999,{с,99,999,99,{с,999,99,,
1,201010,330455,2010,251110,74209,71120,7112000,7,9,40,19,27,0,0,2,6322,1,1,0,1,0,2,33,{с c,{с c,370,{с c,0,3306,33018,2,999,{с,99,999,99,{с,999,99,,
1,201010,330455,2010,251110,74209,71120,7112000,7,9,40,19,27,0,0,8,4367,1,2,0,1,0,2,33,{с c,{с c,370,{с c,0,3306,33018,2,999,{с,99,999,99,{с,999,99,,
1,201010,330455,2010,251110,74209,71120,7112000,7,9,40,19,26,0,0,8,4367,1,1,0,1,0,2,33,{с c,{с c,370,{с c,0,3306,33018,2,999,{с,99,999,99,{с,999,99,,
1,201010,410690,2010,251110,74403,73190,7319003,1,9,44,19,27,0,0,2,1640,1,2,0,1,0,2,41,{с c,{с c,{с c,{с c,0,4110,41037,{с,999,{с,99,999,7,2,999,1,,
2,201010,431490,2010,251110,74209,71197,7119702,1,9,44,19,36,0,0,9,1100,-1,1,10,1,0,4,43,{с c,{с c,{с c,{с c,0,4305,43026,{с,999,11,12,999,99,{с,999,99,,
2,201010,431490,2010,251110,74209,71197,7119702,1,9,20,19,21,0,0,9,350,-1,2,9,1,0,4,43,{с c,{с c,{с c,{с c,0,4305,43026,{с,999,11,12,999,99,{с,999,99,,
2,201010,130260,2010,251110,45217,41204,4120400,7,9,44,15,37,0,0,2,3000,-1,1,15,3,0,4,13,{с c,{с c,{с c,{с c,0,1303,13007,{с,999,{с,99,999,99,{с,999,99,,
2,201010,150140,2010,251110,74160,85503,8550302,9,9,44,19,35,0,0,8,3489,-1,1,9,1,0,4,15,{с c,{с c,{с c,{с c,0,1503,15007,{с,999,{с,99,999,99,{с,999,99,,
1,201011,520890,2010,251110,45217,41204,4120400,2,9,44,15,41,0,0,8,1800,1,2,0,3,0,2,52,{с c,{с c,{с c,{с c,0,5201,52002,{с,999,{с,99,999,99,{с,999,99,,
2,201011,430535,2010,251110,45225,42111,4211101,4,9,24,15,46,0,0,2,2105,-1,1,15,1,0,4,43,{с c,{с c,{с c,{с c,0,4305,43025,{с,999,4,5,999,99,{с,999,99,,
2,201011,410690,2010,251110,74403,73190,7319003,1,9,44,19,24,0,0,2,1664,-1,1,5,1,0,6,41,{с c,{с c,{с c,{с c,0,4110,41037,{с,999,{с,99,999,7,2,999,1,,
1,201011,330455,2010,251110,74209,71111,7111100,9,9,44,19,30,0,0,2,4500,1,2,0,1,0,2,33,{с c,{с c,1430,{с c,0,3306,33018,7,999,{с,99,999,99,{с,999,99,,
1,201011,355030,2010,251110,74209,71120,7112000,4,9,44,19,33,0,0,8,2000,1,1,0,1,0,2,35,1748,{с c,{с c,60,0,3515,35061,{с,13,{с,99,1,99,{с,46,99,,
2,201011,150140,2010,251110,74160,85503,8550302,9,9,30,19,35,0,0,8,2835,-1,1,4,1,0,4,15,{с c,{с c,{с c,{с c,0,1503,15007,{с,999,{с,99,999,99,{с,999,99,,
2,201012,150140,2010,251110,74160,85503,8550302,9,9,44,19,28,0,0,8,3489,-1,2,11,1,0,4,15,{с c,{с c,{с c,{с c,0,1503,15007,{с,999,{с,99,999,99,{с,999,99,,
1,201012,310620,2010,251110,75116,84116,8411600,9,9,30,24,29,0,0,8,5219,1,2,0,1,0,1,31,{с c,{с c,{с c,{с c,0,3107,31030,{с,999,{с,99,999,99,{с,999,99,,
1,201012,310620,2010,251110,75116,84116,8411600,9,9,30,24,24,0,0,8,5219,1,2,0,1,0,1,31,{с c,{с c,{с c,{с c,0,3107,31030,{с,999,{с,99,999,99,{с,999,99,,
1,201012,330455,2010,251110,74209,71120,7112000,7,9,40,19,27,0,0,8,4367,1,2,0,1,0,2,33,{с c,{с c,{с c,{с c,0,3306,33018,{с,999,{с,99,999,99,{с,999,99,,
1,201012,330455,2010,251110,74209,71120,7112000,7,9,40,19,25,0,0,8,4367,1,2,0,1,0,2,33,{с c,{с c,{с c,{с c,0,3306,33018,{с,999,{с,99,999,99,{с,999,99,,
1,201012,330455,2010,251110,74209,71120,7112000,7,9,40,19,21,0,0,8,4367,1,2,0,1,0,2,33,{с c,{с c,{с c,{с c,0,3306,33018,{с,999,{с,99,999,99,{с,999,99,,
1,201012,351620,2010,251110,24996,20991,2099199,1,9,44,10,23,0,0,2,1102,1,2,0,1,0,2,35,9999,{с c,{с c,9999,0,3502,35012,{с,6,{с,99,42,99,{с,14,99,,
2,201012,430700,2010,251110,73202,72207,7220700,2,9,40,21,28,0,0,2,561,-1,1,5,1,0,6,43,{с c,{с c,{с c,{с c,0,4301,43004,{с,999,14,16,999,99,{с,999,99,,
1,201101,150140,2011,251110,74160,85503,8550302,9,9,44,19,29,0,0,8,3593,1,1,0,1,0,1,15,{с c,{с c,{с c,{с c,0,1503,15007,{с,999,{с,99,999,99,{с,999,99,,
2,201101,230440,2011,251110,45225,42111,4211101,6,9,44,15,42,0,0,6,7151,-1,1,56,1,0,4,23,{с c,46,{с c,{с c,0,2303,23016,{с,999,{с,99,999,99,{с,999,99,,
2,201101,330170,2011,251110,45292,42235,4223500,7,9,44,15,56,0,0,2,1001,-1,2,10,3,0,4,33,{с c,{с c,9999,{с c,0,3306,33018,99,999,{с,99,999,99,{с,999,99,,
2,201101,330170,2011,251110,45292,42235,4223500,7,9,44,15,46,0,0,2,1001,-1,1,11,3,0,4,33,{с c,{с c,9999,{с c,0,3306,33018,99,999,{с,99,999,99,{с,999,99,,
1,201101,330430,2011,251110,74993,82997,8299799,1,9,44,19,44,0,0,2,4967,1,2,0,1,0,2,33,{с c,{с c,9999,{с c,0,3306,33016,99,999,{с,99,999,99,{с,999,99,,
1,201101,330430,2011,251110,74993,82997,8299799,1,9,44,19,27,0,0,2,4967,1,1,0,1,0,1,33,{с c,{с c,9999,{с c,0,3306,33016,99,999,{с,99,999,99,{с,999,99,,
1,201101,330430,2011,251110,74993,82997,8299799,1,9,44,19,42,0,0,2,7036,1,2,0,1,0,2,33,{с c,{с c,9999,{с c,0,3306,33016,99,999,{с,99,999,99,{с,999,99,,
1,201101,330430,2011,251110,74993,82997,8299799,1,9,44,19,46,0,0,2,7036,1,1,0,1,0,2,33,{с c,{с c,9999,{с c,0,3306,33016,99,999,{с,99,999,99,{с,999,99,,
1,201101,330430,2011,251110,74993,82997,8299799,1,9,44,19,38,0,0,2,3616,1,1,0,1,0,2,33,{с c,{с c,9999,{с c,0,3306,33016,99,999,{с,99,999,99,{с,999,99,,
1,201101,330430,2011,251110,74993,82997,8299799,1,9,44,19,28,0,0,2,4277,1,2,0,1,0,2,33,{с c,{с c,9999,{с c,0,3306,33016,99,999,{с,99,999,99,{с,999,99,,
2,201101,410690,2011,251110,74403,73190,7319003,1,9,44,19,27,0,0,2,1640,-1,2,3,1,0,4,41,{с c,{с c,{с c,{с c,0,4110,41037,{с,999,{с,99,999,7,2,999,1,,
2,201101,520890,2011,251110,45217,41204,4120400,5,9,44,15,41,0,0,8,1800,-1,2,2,3,0,4,52,{с c,{с c,{с c,{с c,0,5201,52002,{с,999,{с,99,999,99,{с,999,99,,
1,201102,221060,2011,251110,92525,91023,9102301,6,9,44,21,41,0,0,2,6320,1,1,0,1,0,1,22,{с c,{с c,{с c,{с c,0,2203,22011,{с,999,{с,99,999,99,{с,999,99,,
1,201102,221060,2011,251110,92525,91023,9102301,6,9,44,21,38,0,0,2,6320,1,1,0,1,0,1,22,{с c,{с c,{с c,{с c,0,2203,22011,{с,999,{с,99,999,99,{с,999,99,,
1,201102,221060,2011,251110,92525,91023,9102301,6,9,44,21,28,0,0,2,6320,1,1,0,1,0,2,22,{с c,{с c,{с c,{с c,0,2203,22011,{с,999,{с,99,999,99,{с,999,99,,
1,201102,221060,2011,251110,92525,91023,9102301,6,9,44,21,23,0,0,2,6320,1,2,0,1,0,1,22,{с c,{с c,{с c,{с c,0,2203,22011,{с,999,{с,99,999,99,{с,999,99,,
1,201102,221060,2011,251110,92525,91023,9102301,6,9,44,21,28,0,0,2,6320,1,2,0,1,0,1,22,{с c,{с c,{с c,{с c,0,2203,22011,{с,999,{с,99,999,99,{с,999,99,,
1,201102,221060,2011,251110,92525,91023,9102301,6,9,44,21,32,0,0,2,6320,1,2,0,1,0,2,22,{с c,{с c,{с c,{с c,0,2203,22011,{с,999,{с,99,999,99,{с,999,99,,
2,201102,310620,2011,251110,50105,45111,4511101,6,9,44,16,30,0,0,2,2108,-1,1,21,1,0,6,31,{с c,{с c,{с c,{с c,0,3107,31030,{с,999,{с,99,999,99,{с,999,99,,
2,201102,330455,2011,251110,74403,73114,7311400,4,9,44,19,26,0,0,2,1606,-1,2,42,1,0,6,33,{с c,{с c,160,{с c,0,3306,33018,17,999,{с,99,999,99,{с,999,99,,
1,201102,330490,2011,251110,74993,82997,8299799,2,9,44,19,29,0,0,8,1000,1,1,0,1,0,2,33,{с c,{с c,9999,{с c,0,3306,33018,99,999,{с,99,999,99,{с,999,99,,
1,201102,330490,2011,251110,74993,82997,8299799,2,9,44,19,47,0,0,8,1800,1,2,0,1,0,2,33,{с c,{с c,9999,{с c,0,3306,33018,99,999,{с,99,999,99,{с,999,99,,
2,201102,330455,2011,251110,74209,71120,7112000,7,9,40,19,27,0,0,8,6871,-1,2,5,1,0,6,33,{с c,{с c,370,{с c,0,3306,33018,2,999,{с,99,999,99,{с,999,99,,
2,201102,330455,2011,251110,74209,71120,7112000,7,9,40,19,27,0,0,2,6871,-1,1,5,1,0,6,33,{с c,{с c,370,{с c,0,3306,33018,2,999,{с,99,999,99,{с,999,99,,
2,201102,330455,2011,251110,74209,71120,7112000,7,9,40,19,21,0,0,8,4367,-1,2,3,1,0,11,33,{с c,{с c,370,{с c,0,3306,33018,2,999,{с,99,999,99,{с,999,99,,
2,201102,330455,2011,251110,91995,94308,9430800,2,9,44,21,30,0,0,8,1635,-1,2,7,1,0,6,33,{с c,{с c,910,{с c,0,3306,33018,4,999,{с,99,999,99,{с,999,99,,
2,201102,355030,2011,251110,74209,71120,7112000,3,9,44,19,33,0,0,2,2000,-1,1,3,1,0,11,35,1748,{с c,{с c,60,0,3515,35061,{с,13,{с,99,1,99,{с,46,99,,
2,201102,530010,2011,251110,74209,71120,7112000,5,9,44,19,38,0,0,2,7000,-1,2,9,1,0,4,53,{с c,{с c,{с c,{с c,1,5301,53001,{с,999,{с,99,999,99,{с,999,99,,
1,201103,150140,2011,251110,74160,85503,8550302,9,9,44,19,37,0,0,8,2196,1,1,0,1,0,1,15,{с c,{с c,{с c,{с c,0,1503,15007,{с,999,{с,99,999,99,{с,999,99,,
1,201103,150140,2011,251110,74160,85503,8550302,9,9,44,19,29,0,0,8,1934,1,2,0,1,0,2,15,{с c,{с c,{с c,{с c,0,1503,15007,{с,999,{с,99,999,99,{с,999,99,,
2,201103,314390,2011,251110,80314,85317,8531700,6,9,44,23,44,0,0,2,2928,-1,1,41,1,0,4,31,{с c,{с c,{с c,{с c,0,3112,31063,{с,999,{с,99,999,99,{с,999,99,,
1,201103,313110,2011,251110,45128,43126,4312600,1,9,44,15,30,0,0,2,4500,1,1,0,1,0,2,31,{с c,{с c,{с c,{с c,0,3106,31025,{с,999,{с,99,999,99,{с,999,99,,
2,201103,330455,2011,251110,74403,73114,7311400,4,9,44,19,28,0,0,2,1606,-1,2,43,1,0,6,33,{с c,{с c,160,{с c,0,3306,33018,17,999,{с,99,999,99,{с,999,99,,
1,201103,330455,2011,251110,74209,71120,7112000,7,9,40,19,33,0,0,2,6322,1,2,0,1,0,2,33,{с c,{с c,370,{с c,0,3306,33018,2,999,{с,99,999,99,{с,999,99,,
1,201103,330455,2011,251110,74209,71120,7112000,7,9,40,19,24,0,0,2,4367,1,2,0,1,0,2,33,{с c,{с c,370,{с c,0,3306,33018,2,999,{с,99,999,99,{с,999,99,,
1,201103,330455,2011,251110,74209,71120,7112000,7,9,40,19,22,0,0,2,4367,1,2,0,1,0,2,33,{с c,{с c,370,{с c,0,3306,33018,2,999,{с,99,999,99,{с,999,99,,
1,201103,330455,2011,251110,74209,71120,7112000,7,9,40,19,27,0,0,2,6322,1,1,0,1,0,2,33,{с c,{с c,370,{с c,0,3306,33018,2,999,{с,99,999,99,{с,999,99,,
2,201103,330455,2011,251110,92525,91023,9102301,4,9,44,21,46,0,0,2,4398,-1,2,8,1,0,4,33,{с c,{с c,160,{с c,0,3306,33018,17,999,{с,99,999,99,{с,999,99,,
2,201103,330455,2011,251110,92525,91023,9102301,4,9,44,21,47,0,0,8,7210,-1,1,35,1,0,4,33,{с c,{с c,160,{с c,0,3306,33018,17,999,{с,99,999,99,{с,999,99,,
2,201103,330455,2011,251110,92525,91023,9102301,4,9,44,21,49,0,0,8,7210,-1,1,35,1,0,4,33,{с c,{с c,160,{с c,0,3306,33018,17,999,{с,99,999,99,{с,999,99,,
2,201103,330455,2011,251110,92525,91023,9102301,4,9,44,21,31,0,0,2,2647,-1,1,34,1,0,4,33,{с c,{с c,160,{с c,0,3306,33018,17,999,{с,99,999,99,{с,999,99,,
2,201103,330455,2011,251110,92525,91023,9102301,4,9,44,21,28,0,0,8,3937,-1,1,32,1,0,4,33,{с c,{с c,160,{с c,0,3306,33018,17,999,{с,99,999,99,{с,999,99,,
2,201103,330455,2011,251110,92525,91023,9102301,4,9,44,21,34,0,0,2,3920,-1,2,22,1,0,4,33,{с c,{с c,160,{с c,0,3306,33018,17,999,{с,99,999,99,{с,999,99,,
2,201103,330455,2011,251110,92525,91023,9102301,4,9,44,21,30,0,0,2,4640,-1,2,39,1,0,4,33,{с c,{с c,160,{с c,0,3306,33018,17,999,{с,99,999,99,{с,999,99,,
2,201103,330455,2011,251110,92525,91023,9102301,4,9,44,21,30,0,0,8,8100,-1,1,39,1,0,4,33,{с c,{с c,160,{с c,0,3306,33018,17,999,{с,99,999,99,{с,999,99,,
2,201103,330455,2011,251110,92525,91023,9102301,4,9,44,21,32,0,0,2,4640,-1,2,39,1,0,4,33,{с c,{с c,160,{с c,0,3306,33018,17,999,{с,99,999,99,{с,999,99,,
2,201103,330455,2011,251110,92525,91023,9102301,4,9,44,21,33,0,0,6,4640,-1,2,39,1,0,4,33,{с c,{с c,160,{с c,0,3306,33018,17,999,{с,99,999,99,{с,999,99,,
2,201103,330455,2011,251110,92525,91023,9102301,4,9,44,21,44,0,0,2,2974,-1,2,36,1,0,4,33,{с c,{с c,160,{с c,0,3306,33018,17,999,{с,99,999,99,{с,999,99,,
1,201103,355030,2011,251110,74128,69206,6920601,1,9,44,19,26,0,0,2,1800,1,2,0,1,0,2,35,1169,{с c,{с c,52,0,3515,35061,{с,13,{с,99,1,99,{с,46,99,,
1,201103,351620,2011,251110,24996,20991,2099199,5,9,44,10,25,0,0,2,1000,1,2,0,1,0,2,35,9999,{с c,{с c,9999,0,3502,35012,{с,6,{с,99,42,99,{с,14,99,,
1,201104,330455,2011,251110,74993,74901,7490199,1,9,40,19,28,0,0,8,2891,1,2,0,3,0,1,33,{с c,{с c,1170,{с c,0,3306,33018,8,999,{с,99,999,99,{с,999,99,,
1,201104,330455,2011,251110,74209,71120,7112000,7,9,40,19,24,0,0,2,4367,1,1,0,1,0,2,33,{с c,{с c,370,{с c,0,3306,33018,2,999,{с,99,999,99,{с,999,99,,
