"Ano";"UF";"Região";"Bairros.SP";"Bairros.Fortaleza";"Bairros.RJ";"Causa.Afastamento.1";"Causa.Afastamento.2";"Causa.Afastamento.3";"Motivo.Desligamento";"CBO.94.Ocupação";"CBO.Ocupação.2002";"CNAE.2.0.Classe";"CNAE.95.Classe";"Distritos.SP";"Vínculo.Ativo.31.12";"Faixa.Etária";"Faixa.Hora.Contrat";"Faixa.Remun.Dezem..SM.";"Faixa.Remun.Média..SM.";"Faixa.Tempo.Emprego";"Grau.Instrução.2005.1985";"Escolaridade.após.2005";"Qtd.Hora.Contr";"Idade";"Ind.CEI.Vinculado";"Ind.Simples";"Mês.Admissão";"Mês.Desligamento";"Mun.Trab";"Município";"Nacionalidade";"Natureza.Jurídica";"Ind.Portador.Defic";"Qtd.Dias.Afastamento";"Raça.Cor";"Regiões.Adm.DF";"Vl.Remun.Dezembro.Nom";"Vl.Remun.Dezembro.SM";"Vl.Remun.Média.Nom";"Vl.Remun.Média.SM";"CNAE.2.0.Subclasse";"Sexo.Trabalhador";"Tamanho.Estabelecimento";"Tempo.Emprego";"Tipo.Admissão";"Tipo.Estab";"Tipo.Estab.1";"Tipo.Defic";"Tipo.Vínculo";"IBGE.Subsetor";"Vl.Rem.Janeiro.CC";"Vl.Rem.Fevereiro.CC";"Vl.Rem.Março.CC";"Vl.Rem.Abril.CC";"Vl.Rem.Maio.CC";"Vl.Rem.Junho.CC";"Vl.Rem.Julho.CC";"Vl.Rem.Agosto.CC";"Vl.Rem.Setembro.CC";"Vl.Rem.Outubro.CC";"Vl.Rem.Novembro.CC";"Ano.Chegada.Brasil";"Ind.Trab.Intermitente";"Ind.Trab.Parcial";"Tipo.Salário";"Vl.Salário.Contratual"
1995;"PE";"NORDESTE";"0";NA;NA;NA;NA;NA;0;19245;NA;NA;"80306";"0";1;5;5;"10";"09";8;9;NA;40;37;NA;NA;0;"0";NA;261160;10;1104;NA;NA;NA;NA;NA;11,25;NA;12,12;NA;2;10;121,2;0;1;"CNPJ";NA;30;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1995;"PE";"NORDESTE";"0";NA;NA;NA;NA;NA;0;19245;NA;NA;"80306";"0";1;5;5;"09";"09";8;9;NA;40;37;NA;NA;0;"0";NA;261160;10;1104;NA;NA;NA;NA;NA;9,93;NA;11,45;NA;2;10;121,2;0;1;"CNPJ";NA;30;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1995;"PE";"NORDESTE";"0";NA;NA;NA;NA;NA;0;19245;NA;NA;"80306";"0";1;5;5;"10";"09";8;9;NA;40;35;NA;NA;0;"0";NA;261160;10;1104;NA;NA;NA;NA;NA;10,23;NA;11,43;NA;2;10;121,2;0;1;"CNPJ";NA;30;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1995;"RO";"NORTE";"0";NA;NA;NA;NA;NA;0;19245;NA;NA;"75116";"0";1;6;5;"5";"4";5;9;NA;40;40;NA;NA;0;"0";NA;110012;10;1031;NA;NA;NA;NA;NA;2,32;NA;2,44;NA;1;10;33;0;1;"CNPJ";NA;10;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1995;"RS";"SUL";"0";NA;NA;NA;NA;NA;11;19245;NA;NA;"75116";"0";0;5;3;"6";"5";2;9;NA;20;33;NA;NA;6;"12";NA;431750;10;1031;NA;NA;NA;NA;NA;3,63;NA;3,56;NA;2;10;5,9;2;1;"CNPJ";NA;10;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1995;"RS";"SUL";"0";NA;NA;NA;NA;NA;0;19245;NA;NA;"75116";"0";1;5;3;"6";"5";4;9;NA;20;34;NA;NA;0;"0";NA;432166;10;1031;NA;NA;NA;NA;NA;3,37;NA;3,73;NA;1;7;16,6;0;1;"CNPJ";NA;30;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1995;"SP";"SUDESTE";"9999";NA;NA;NA;NA;NA;0;19245;NA;NA;"92312";"9999";1;5;6;"12";"9";5;9;NA;44;33;NA;NA;0;"0";NA;354990;10;1155;NA;NA;NA;NA;NA;34,44;NA;13,02;NA;1;7;27,7;0;1;"CNPJ";NA;10;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1996;"RO";"NORTE";"0";"0";"0";NA;NA;NA;11;19245;NA;NA;"75116";"0";0;5;5;"0";"1";3;2;NA;40;37;NA;NA;0;"7";NA;110012;10;1031;NA;NA;NA;"0";NA;0;NA;0,93;NA;2;8;9,5;0;1;"CNPJ";NA;10;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1996;"RO";"NORTE";"0";"0";"0";NA;NA;NA;0;19245;NA;NA;"75116";"0";1;6;5;"5";"4";6;9;NA;40;41;NA;NA;0;"0";NA;110012;10;1031;NA;NA;NA;"0";NA;2,49;NA;2,59;NA;1;8;45;0;1;"CNPJ";NA;10;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1996;"SC";"SUL";"0";"0";"0";NA;NA;NA;0;19245;NA;NA;"74128";"0";1;5;5;"10";"10";2;5;NA;32;39;NA;NA;8;"0";NA;420540;10;3018;NA;NA;NA;"0";NA;10,71;NA;16,07;NA;1;8;4,3;2;1;"CNPJ";NA;10;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
