"Admitidos.Desligados";"Competência.Movimentação";"Município";"Ano.Movimentação";"CBO.94.Ocupação";"CBO.2002.Ocupação";"CNAE.1.0.Classe";"Faixa.Empr.Início.Jan";"Grau.Instrução";"Qtd.Hora.Contrat";"IBGE.Subsetor";"Idade";"Ind.Aprendiz";"Salário.Mensal";"Saldo.Mov";"Sexo";"Tempo.Emprego";"Tipo.Estab";"Tipo.Mov.Desagregado";"UF";"Competência.Declarada";"Bairros.SP";"Bairros.Fortaleza";"Bairros.RJ";"Distritos.SP";"Regiões.Adm.DF";"Mesorregião";"Microrregião";"Região.Adm.RJ";"Região.Adm.SP";"Região.Corede";"Região.Corede.04";"Região.Gov.SP";"Região.Senac.PR";"Região.Senai.PR";"Região.Senai.SP";"Sub.Região.Senai.PR";"Região.Metro.MTE";"CNAE.2.0.Subclas";"Raça.Cor";"Ind.Portador.Defic";"Tipo.Defic";"Ind.Trab.Parcial";"Ind.Trab.Intermitente"
1;200803;351518;2008;"19245";251110;73202;2;9;44;21;28;0;12;1;1;0;1;25;35;200804;"9999";"{ñ c";"{ñ c";"9999";"{ñ c";3507;35030;"{ñ c";4;"{ñ c";99;20;99;"{ñ c";30;99;"{ñ";7220700;2;0;0;NA;NA
1;200803;351518;2008;"19245";251110;73202;2;9;44;21;25;0;9;1;2;0;1;25;35;200804;"9999";"{ñ c";"{ñ c";"9999";"{ñ c";3507;35030;"{ñ c";4;"{ñ c";99;20;99;"{ñ c";30;99;"{ñ";7220700;2;0;0;NA;NA
1;200803;351518;2008;"19245";251110;73202;2;9;44;21;22;0;12;1;1;0;1;25;35;200804;"9999";"{ñ c";"{ñ c";"9999";"{ñ c";3507;35030;"{ñ c";4;"{ñ c";99;20;99;"{ñ c";30;99;"{ñ";7220700;2;0;0;NA;NA
1;200803;351518;2008;"19245";251110;73202;2;9;44;21;29;0;20;1;1;0;1;25;35;200804;"9999";"{ñ c";"{ñ c";"9999";"{ñ c";3507;35030;"{ñ c";4;"{ñ c";99;20;99;"{ñ c";30;99;"{ñ";7220700;2;0;0;NA;NA
1;200803;351518;2008;"19245";251110;73202;2;9;44;21;28;0;12;1;1;0;1;25;35;200804;"9999";"{ñ c";"{ñ c";"9999";"{ñ c";3507;35030;"{ñ c";4;"{ñ c";99;20;99;"{ñ c";30;99;"{ñ";7220700;2;0;0;NA;NA
1;200803;351518;2008;"19245";251110;73202;2;9;44;21;29;0;12;1;2;0;1;25;35;200804;"9999";"{ñ c";"{ñ c";"9999";"{ñ c";3507;35030;"{ñ c";4;"{ñ c";99;20;99;"{ñ c";30;99;"{ñ";7220700;2;0;0;NA;NA
1;200806;351518;2008;"19245";251110;73202;2;9;44;21;19;0;5;1;1;0;1;25;35;200807;"9999";"{ñ c";"{ñ c";"9999";"{ñ c";3507;35030;"{ñ c";4;"{ñ c";99;20;99;"{ñ c";30;99;"{ñ";7220700;2;0;0;NA;NA
1;200806;351518;2008;"19245";251110;73202;2;9;44;21;19;0;5;1;2;0;1;25;35;200807;"9999";"{ñ c";"{ñ c";"9999";"{ñ c";3507;35030;"{ñ c";4;"{ñ c";99;20;99;"{ñ c";30;99;"{ñ";7220700;2;0;0;NA;NA
2;200806;320530;2008;"19245";251110;74403;2;9;44;19;24;0;4,51;-1;2;5;1;6;32;200809;"{ñ c";"{ñ c";"{ñ c";"{ñ c";"{ñ c";3203;32009;"{ñ c";999;"{ñ c";99;999;99;"{ñ c";999;99;"{ñ";7311400;2;0;0;NA;NA
2;200808;355030;2008;"19245";251110;52213;4;9;44;16;22;0;7,5;-1;1;12;1;4;35;200809;"{ñ c";"{ñ c";"{ñ c";"{ñ c";"{ñ c";3515;35061;"{ñ c";13;"{ñ c";99;1;99;"{ñ c";46;99;" 7";4721102;2;0;0;NA;NA
1;200808;330045;2008;"19245";251110;91995;1;9;44;21;47;0;17;1;1;0;1;2;33;200810;"{ñ c";"{ñ c";"9999";"{ñ c";"{ñ c";3306;33018;"  99";999;"{ñ c";99;999;99;"{ñ c";999;99;" 6";9430800;8;0;0;NA;NA
1;200809;330045;2008;"19245";251110;91995;1;9;44;21;41;0;15;1;1;0;1;2;33;200810;"{ñ c";"{ñ c";"9999";"{ñ c";"{ñ c";3306;33018;"  99";999;"{ñ c";99;999;99;"{ñ c";999;99;" 6";9430800;8;0;0;NA;NA
1;200809;351518;2008;"19245";251110;73202;2;9;44;21;32;0;12;1;2;0;1;25;35;200810;"9999";"{ñ c";"{ñ c";"9999";"{ñ c";3507;35030;"{ñ c";4;"{ñ c";99;20;99;"{ñ c";30;99;"{ñ";7220700;2;0;0;NA;NA
